City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Atherton,GB,62.74,overcast clouds,53.5237,-2.4935,The Mercury Motel
3,Buta,CD,70.27,light rain,2.7858,24.73,Hôtel BOPANDO
4,Cape Town,ZA,57.38,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
7,Odweyne,SO,70.21,scattered clouds,9.4092,45.064,Eng Hiirey House
8,Barcelos,PT,68.92,broken clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
9,Ribeira Grande,PT,73.45,broken clouds,38.5167,-28.7,Quinta da Meia Eira
10,Bambous Virieux,MU,69.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
13,Navirai,BR,71.49,few clouds,-23.065,-54.1906,Dubai Hotel - Também sua casa!
14,Rikitea,PF,74.1,light rain,-23.1203,-134.9692,People ThankYou
15,Bethel,US,90.36,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
18,Faanui,PF,77.54,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
19,Karratha,AU,68.0,clear sky,-20.7377,116.8463,ibis Styles Karratha
20,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
21,Castro,BR,59.68,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
22,Zapolyarnyy,RU,61.88,overcast clouds,69.4154,30.8136,Pechenga
23,Butaritari,KI,81.48,broken clouds,3.0707,172.7902,Isles Sunset Lodge
24,Daoukro,CI,69.06,broken clouds,7.0591,-3.9631,Komenan brou roseline
25,Kashi,CN,79.81,dust,39.4547,75.9797,帕米尔青年旅舍
26,Acarau,BR,78.82,scattered clouds,-2.8856,-40.12,castelo pizzaria
27,Harper,LR,75.2,overcast clouds,4.375,-7.7169,Screensaver
28,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
29,Arraial Do Cabo,BR,69.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
30,Kloulklubed,PW,82.44,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
31,Tura,IN,74.21,light rain,25.5198,90.2201,Hotel RIKMAN Continental
32,Khatanga,RU,52.95,overcast clouds,71.9667,102.5,"""Khatanga"""
33,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
34,Pochutla,MX,86.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
36,Victoria,HK,87.33,clear sky,22.2855,114.1577,Mini Central
40,Kapaa,US,82.11,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,Dubbo,AU,50.13,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
43,Quatre Cocos,MU,69.1,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
44,Busselton,AU,58.48,broken clouds,-33.65,115.3333,Observatory Guest House
45,Fortuna,US,69.93,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
47,Samarai,PG,81.16,few clouds,-10.6167,150.6667,Nuli Sapi
49,Souillac,MU,68.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
51,Ahipara,NZ,58.42,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
53,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
56,Pisco,PE,62.65,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
57,Labuhan,ID,75.18,overcast clouds,-6.8844,112.2051,DoubleFAG
59,Heihe,CN,66.78,overcast clouds,50.2441,127.4902,Hotel Strannik
60,Carutapera,BR,76.06,broken clouds,-1.195,-46.02,Lidera
61,Honningsvag,NO,53.35,overcast clouds,70.9821,25.9704,Nordkapp Vandrerhjem
62,Jamestown,US,82.06,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
64,Constitucion,CL,53.17,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
66,Sao Filipe,CV,74.79,overcast clouds,14.8961,-24.4956,Hotel Xaguate
67,Tabas,IR,89.8,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
69,Thompson,CA,66.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
70,Hasaki,JP,84.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
71,Pali,IN,82.96,overcast clouds,25.7667,73.3333,HOTEL THE AMBA VILAS
72,Port Alfred,ZA,57.18,clear sky,-33.5906,26.891,The Halyards Hotel
73,Coquimbo,CL,55.13,overcast clouds,-29.9533,-71.3436,Hotel San Juan
74,Ornskoldsvik,SE,63.55,light intensity drizzle,63.2909,18.7153,ファーストホテル スタット
75,Carnarvon,AU,60.28,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
76,Bandarbeyla,SO,76.44,few clouds,9.4942,50.8122,JABIR HOTEL
77,Hulan Ergi,CN,76.8,clear sky,47.2042,123.6333,Qiqihaer Zhongtian Hotel
78,Ivdel,RU,59.61,overcast clouds,60.6911,60.4206,Ivdel'
79,Asfi,MA,79.43,overcast clouds,32.2994,-9.2372,Hôtel Abda
82,Portland,US,89.26,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
84,Mar Del Plata,AR,51.1,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
86,Rawlins,US,89.35,clear sky,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
87,Mandalgovi,MN,59.14,overcast clouds,45.7625,106.2708,В.Ганбат
90,Hongjiang,CN,77.94,scattered clouds,27.11,109.9956,洪江大酒店
91,Hilo,US,84.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
93,Nouadhibou,MR,75.18,few clouds,20.931,-17.0347,El Medina
94,Soimi,RO,67.8,clear sky,46.6833,22.1167,Casa Ofe
95,Hermanus,ZA,52.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
96,Kushmurun,KZ,60.57,clear sky,52.4503,64.6311,Gostinitsa Pri Depo
97,Sorland,NO,51.66,light rain,67.667,12.6934,Sjybrygga fiskecamp
98,Nikolskoye,RU,65.8,clear sky,59.7035,30.7861,Tourist House - Sablino
99,Saint-Philippe,RE,65.21,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
100,Yellowknife,CA,70.32,broken clouds,62.456,-114.3525,The Explorer Hotel
102,Giyon,ET,55.42,broken clouds,8.5333,37.9833,Negash Lodge
103,Mykhaylivka,UA,63.77,clear sky,47.2724,35.2224,Hotelʹ
104,Lorengau,PG,83.59,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
105,Atuona,PF,77.31,few clouds,-9.8,-139.0333,Villa Enata
106,Pitimbu,BR,73.99,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
107,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
108,Ewa Beach,US,83.98,scattered clouds,21.3156,-158.0072,Base Lodging
109,Hithadhoo,MV,79.95,very heavy rain,-0.6,73.0833,Scoop Guest House
110,Coos Bay,US,75.31,scattered clouds,43.3665,-124.2179,Best Western Holiday Hotel
111,Port Hawkesbury,CA,79.92,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
112,Majene,ID,77.25,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
113,Ondjiva,AO,55.29,clear sky,-17.0667,15.7333,COMBUESA
116,Mana,GF,78.28,few clouds,5.6592,-53.7767,LE SAMANA
119,Kavaratti,IN,81.12,overcast clouds,10.5669,72.642,Green leaf
121,Bambanglipuro,ID,75.2,overcast clouds,-7.95,110.2833,Puri Brata
122,Aklavik,CA,66.2,broken clouds,68.2191,-135.0107,Aklavik Inn
123,Tomari,RU,60.82,overcast clouds,47.7658,142.0683,Vostochnaya
124,Plettenberg Bay,ZA,54.95,broken clouds,-34.0527,23.3716,Thanda Vista B&B
126,Nieuw Nickerie,SR,79.47,scattered clouds,5.95,-56.9833,Ishwardat Inn
127,Malabo,GQ,73.26,broken clouds,3.75,8.7833,Magno Suites Exclusive Hotel & Restaurant
128,Dingle,PH,79.75,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
129,Doha,QA,93.51,clear sky,25.2867,51.5333,Doha Marriott Hotel
130,Ponta Do Sol,PT,71.71,clear sky,32.6667,-17.1,Hotel do Campo
133,Charters Towers,AU,61.84,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
134,Sioux Lookout,CA,77.07,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
135,Chumikan,RU,54.28,overcast clouds,54.7183,135.315,Fortuna
136,Porto Novo,BJ,78.62,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
137,East London,ZA,58.82,clear sky,-33.0153,27.9116,Tu Casa
138,Hamilton,US,89.44,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
139,Livny,RU,55.42,broken clouds,52.4253,37.6069,Gostinitsa Livny Tsentral'naya
140,Margate,GB,64.9,few clouds,51.3813,1.3862,Premier Inn Margate hotel
141,Acapulco,MX,85.46,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
144,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
146,Esperanza,DO,81.3,clear sky,19.5847,-70.9849,Cabañas Bernard - Alojamientos Turísticos
147,Mindelo,CV,76.55,scattered clouds,16.8901,-24.9804,Hotel Gaudi
