City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,31.66,80,75,21.85,light snow
1,Cherskiy,RU,68.75,161.3,47.28,45,99,11.86,overcast clouds
2,Atherton,GB,53.5237,-2.4935,62.74,88,99,3.2,overcast clouds
3,Buta,CD,2.7858,24.73,70.27,99,100,1.5,light rain
4,Cape Town,ZA,-33.9258,18.4232,57.38,81,0,3.0,clear sky
5,Hobart,AU,-42.8794,147.3294,46.26,85,20,8.05,few clouds
6,Zverinogolovskoye,RU,54.4586,64.8542,54.81,92,0,7.47,clear sky
7,Odweyne,SO,9.4092,45.064,70.21,48,34,14.29,scattered clouds
8,Barcelos,PT,41.5388,-8.6151,68.92,90,67,1.79,broken clouds
9,Ribeira Grande,PT,38.5167,-28.7,73.45,86,52,2.01,broken clouds
10,Bambous Virieux,MU,-20.3428,57.7575,69.22,88,40,12.66,scattered clouds
11,Mataura,NZ,-46.1927,168.8643,43.48,94,100,0.98,overcast clouds
12,Airai,TL,-8.9266,125.4092,57.38,85,98,3.78,overcast clouds
13,Navirai,BR,-23.065,-54.1906,71.49,38,19,4.79,few clouds
14,Rikitea,PF,-23.1203,-134.9692,74.1,80,94,23.02,light rain
15,Bethel,US,41.3712,-73.414,90.36,72,48,10.16,scattered clouds
16,Albany,US,42.6001,-73.9662,89.58,53,20,10.76,few clouds
17,Mount Gambier,AU,-37.8333,140.7667,49.82,82,100,11.01,overcast clouds
18,Faanui,PF,-16.4833,-151.75,77.54,72,12,10.6,light rain
19,Karratha,AU,-20.7377,116.8463,68.0,82,0,7.76,clear sky
20,Vaini,TO,-21.2,-175.2,77.16,83,40,9.22,scattered clouds
21,Castro,BR,-24.7911,-50.0119,59.68,83,57,2.64,broken clouds
22,Zapolyarnyy,RU,69.4154,30.8136,61.88,82,100,5.26,overcast clouds
23,Butaritari,KI,3.0707,172.7902,81.48,73,57,5.41,broken clouds
24,Daoukro,CI,7.0591,-3.9631,69.06,93,70,3.13,broken clouds
25,Kashi,CN,39.4547,75.9797,79.81,24,0,8.95,dust
26,Acarau,BR,-2.8856,-40.12,78.82,78,49,13.78,scattered clouds
27,Harper,LR,4.375,-7.7169,75.2,75,100,7.63,overcast clouds
28,Avarua,CK,-21.2078,-159.775,73.45,78,75,16.11,broken clouds
29,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,88,0,6.91,clear sky
30,Kloulklubed,PW,7.0419,134.2556,82.44,73,99,1.92,overcast clouds
31,Tura,IN,25.5198,90.2201,74.21,97,100,3.71,light rain
32,Khatanga,RU,71.9667,102.5,52.95,78,100,14.16,overcast clouds
